typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.565,8    -L  15 -    -,L15,Bildsteiner Straße,RFB 1,3,4.0,Minderachbrücke,L015 004,1956.0,7.0,,1000.0,66.0,,True
bruecke,bruecke.287,8    -L  16 -    -,L16,Wälderstraße,RFB 1,1,1.69,Ippachbrücke,L016 001,2014.0,7.0,,690.0,8.0,,False
bruecke,bruecke.479,8    -L  16 -    -,L16,Wälderstraße,RFB 1,0,0.943,V26 Überführung der L16 Wälder Straße,A 14 026,1979.0,7.0,,943.0,43.0,,True
bruecke,bruecke.123,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,2,2.566,Fabrikskanalbrücke,L018 002,1920.0,7.0,,566.0,102.0,,True
bruecke,bruecke.536,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,0,0.747,Ruggbachbrücke,L018 001,1965.0,7.0,,747.0,57.0,,True
bruecke,bruecke.639,8    -L  18 -    -,L18,Hörbranzer Straße,RFB 1,3,3.052,Leiblachbrücke (Grenze),L018 003,1982.0,7.0,,52.0,40.0,,True
bruecke,bruecke.28,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,57,57.104,Illbrücke bei der Säge Flöry,B188 002,1938.0,6.5,,104.0,84.0,,True
bruecke,bruecke.33,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73,73.608,Rappentobelbrücke 2,B188 019,1962.0,6.5,,608.0,60.0,,True
bruecke,bruecke.41,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73,73.252,Stiefentobelbrücke,B188 017,1986.0,6.5,,252.0,36.0,,True
bruecke,bruecke.107,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,81,81.574,Grafesertobelbrücke,B188 023,1961.0,6.5,,574.0,61.0,,True
bruecke,bruecke.117,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73,73.428,Bargustobelbrücke,B188 018,1962.0,6.5,,428.0,60.0,,True
bruecke,bruecke.170,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,73,73.115,Ill - Landbrücke,B188 016,1953.0,6.5,,115.0,69.0,,True
bruecke,bruecke.172,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,58,58.695,Querungsbauwerk Unterwasserkanal und Schwallentlastung,B188 037,1969.0,6.5,,695.0,53.0,,True
bruecke,bruecke.191,8    -L 188 -    -,L188,Montafoner Straße,RFB 1,84,84.92,Untere Illbrücke Lorüns,B188 026,1959.0,6.5,,920.0,63.0,,True
